epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.01635,2.10107,4.02725,1.49032,0.003,0.86667,0.00333,0.0014,1.99356,3.7508,1.27907,0.09412,0.00012,0.00012
2,4.17287,1.88039,3.85988,1.45307,0.00276,0.8,0.00314,0.00154,1.81986,3.69461,1.24466,0.0872599,0.000259936,0.000259936
3,4.92787,1.72709,3.73899,1.28925,0.00277,0.8,0.00357,0.00196,1.49443,3.62999,1.13971,0.0803996,0.000399609,0.000399609
4,5.67992,1.59435,3.62991,1.29383,0.00279,0.8,0.00334,0.00204,1.23442,3.56744,1.06012,0.0735388,0.000538814,0.000538814
5,6.39792,1.6862,3.56279,1.35003,0.00315,0.93333,0.00408,0.00264,1.15873,3.56853,1.04031,0.0666773,0.000677346,0.000677346
6,7.15492,1.56823,3.4419,1.1971,0.00311,0.93333,0.00453,0.00285,1.11573,3.54241,1.01118,0.059815,0.000815003,0.000815003
7,7.88981,1.43368,3.25626,1.24642,0.00333,1,0.00485,0.00299,1.0804,3.54948,1.00993,0.0529516,0.000951583,0.000951583
8,8.64081,1.40756,3.05733,1.18794,0.00333,1,0.00534,0.00306,1.03652,3.5347,1.02828,0.0460869,0.00108689,0.00108689
9,9.37881,1.41099,2.71516,1.12175,0.00333,1,0.00767,0.0039,1.08419,3.43185,1.03531,0.0392207,0.00122072,0.00122072
10,10.0833,1.48697,2.43335,1.21546,0.00333,1,0.01068,0.00658,1.17879,3.32283,1.06461,0.0323529,0.00135288,0.00135288
11,10.8143,1.42107,1.98485,1.15743,0.02186,1,0.76204,0.42897,1.29324,2.71453,1.15155,0.0254832,0.00148317,0.00148317
12,11.5443,1.50265,1.96288,1.29817,1,0.65221,0.97333,0.57118,1.33596,2.16342,1.21114,0.0186114,0.00161142,0.00161142
13,12.2816,1.49076,1.78322,1.21276,0.93324,0.86667,0.98327,0.59333,1.3771,1.71215,1.2141,0.0117374,0.00173743,0.00173743
14,13.1026,1.49796,1.88986,1.27491,0.93324,0.86667,0.98327,0.59333,1.3771,1.71215,1.2141,0.00486102,0.00186102,0.00186102
15,13.8186,1.35277,1.48546,1.12644,0.82419,0.93786,0.96405,0.54899,1.42829,1.52489,1.27221,0.00190578,0.00190578,0.00190578
16,14.5366,1.3824,1.64737,1.16487,0.98426,0.8,0.9575,0.59178,1.33721,1.4016,1.18663,0.0018921,0.0018921,0.0018921
17,15.2486,1.39458,1.69172,1.14923,0.98603,0.8,0.95511,0.57559,1.36048,1.41503,1.24013,0.00187754,0.00187754,0.00187754
